SHOULDBE ,STATE,ABBR,CURRENTNAME,fips,lat,long
Autauga,Alabama,AL,Autauga County,1001,32.532237,-86.64644
Baldwin,Alabama,AL,Baldwin County,1003,30.659218,-87.746067
Barbour,Alabama,AL,Barbour County,1005,31.870253,-85.405104
Bibb,Alabama,AL,Bibb County,1007,33.015893,-87.127148
Blount,Alabama,AL,Blount County,1009,33.977358,-86.56644
Bullock,Alabama,AL,Bullock County,1011,32.101759,-85.717261
Butler,Alabama,AL,Butler County,1013,31.751667,-86.681969
Calhoun,Alabama,AL,Calhoun County,1015,33.770516,-85.827909
Chambers,Alabama,AL,Chambers County,1017,32.915504,-85.394032
Cherokee,Alabama,AL,Cherokee County,1019,34.069515,-85.654242
Chilton,Alabama,AL,Chilton County,1021,32.854051,-86.726607
Choctaw,Alabama,AL,Choctaw County,1023,31.990954,-88.248889
Clarke,Alabama,AL,Clarke County,1025,31.685521,-87.818624
Clay,Alabama,AL,Clay County,1027,33.2704,-85.863525
Cleburne,Alabama,AL,Cleburne County,1029,33.671964,-85.516126
Coffee,Alabama,AL,Coffee County,1031,31.402258,-85.989602
Colbert,Alabama,AL,Colbert County,1033,34.703112,-87.801457
Conecuh,Alabama,AL,Conecuh County,1035,31.430926,-86.988722
Coosa,Alabama,AL,Coosa County,1037,32.931445,-86.243482
Covington,Alabama,AL,Covington County,1039,31.243987,-86.448721
Crenshaw,Alabama,AL,Crenshaw County,1041,31.732826,-86.319222
Cullman,Alabama,AL,Cullman County,1043,34.131923,-86.869267
Dale,Alabama,AL,Dale County,1045,31.430654,-85.609476
Dallas,Alabama,AL,Dallas County,1047,32.33354,-87.114356
DeKalb,Alabama,AL,DeKalb County,1049,34.460929,-85.803992
Elmore,Alabama,AL,Elmore County,1051,32.597229,-86.142735
Escambia,Alabama,AL,Escambia County,1053,31.122287,-87.16841
Etowah,Alabama,AL,Etowah County,1055,34.047641,-86.034263
Fayette,Alabama,AL,Fayette County,1057,33.716157,-87.764292
Franklin,Alabama,AL,Franklin County,1059,34.441989,-87.842814
Geneva,Alabama,AL,Geneva County,1061,31.092382,-85.821022
Greene,Alabama,AL,Greene County,1063,32.844497,-87.9642
Hale,Alabama,AL,Hale County,1065,32.752796,-87.623061
Henry,Alabama,AL,Henry County,1067,31.516978,-85.239971
Houston,Alabama,AL,Houston County,1069,31.158183,-85.296411
Jackson,Alabama,AL,Jackson County,1071,34.764114,-85.980056
Jefferson,Alabama,AL,Jefferson County,1073,33.553444,-86.896536
Lamar,Alabama,AL,Lamar County,1075,33.787085,-88.087431
Lauderdale,Alabama,AL,Lauderdale County,1077,34.904122,-87.650997
Lawrence,Alabama,AL,Lawrence County,1079,34.529776,-87.321865
